git emotion,category,content
공포,comment,무서워
공포,comment,엄마야! 
공포,comment,깜짝이야!
공포,comment,심장 떨어질 뻔했네
공포,comment,방금 무슨 소리야?
공포,comment,누가 있는 것 같아
공포,comment,등 뒤가 서늘해
공포,comment,오싹하다
공포,comment,소름 돋았어
공포,comment,닭살 돋음 
공포,comment,머리카락이 쭈뼛
공포,comment,다리가 후들거려
공포,comment,식은땀이 흐른다
공포,comment,공포 그 자체
공포,comment,이불 속에 숨어야지
공포,comment,불 끄지 마
공포,comment,오늘 밤 잠은 다 잤다
공포,comment,살려주세요
공포,comment,도망쳐! 
공포,comment,뒤돌아보지 마
공포,comment,귀신보다 사람이 더 무서워
공포,comment,꿈에 나올까 무섭다
공포,comment,가위눌릴 것 같아
공포,comment,악몽
공포,comment,내 발 밑에 뭐가 있어
공포,comment,침대 밑 확인 금지
공포,comment,거울 보지 마
공포,comment,창문 밖을 보지 마
공포,comment,혼자 있기 싫어
공포,comment,심장이 쫄깃해짐
공포,comment,심박수 급상승
공포,comment,기절초풍
공포,comment,혼비백산
공포,comment,걸음아 나 살려라
공포,comment,바지에 지릴 뻔
공포,comment,지렸다...
공포,comment,심멎 (심장 멎음)
공포,comment,공포영화가 따로 없네
공포,comment,현실 공포
공포,comment,갑툭튀 금지 (갑자기 툭 튀어나오기)
공포,comment,경악
공포,comment,비명 지름 으악!
공포,comment,꺄아아악!
공포,comment,히익!
공포,comment,후덜덜
공포,comment,ㄷㄷㄷ
공포,comment,무서워 죽겠네
공포,comment,간이 콩알만 해짐
공포,comment,입술이 파르르
공포,comment,눈물 찔끔
공포,comment,집에 혼자 있는데 소리가 들려
공포,comment,엘리베이터가 멈췄어
공포,comment,어두운 골목길
공포,comment,가로등이 깜빡거려
공포,comment,누가 쫓아오는 것 같아
공포,comment,발자국 소리
공포,comment,휘파람 소리
공포,comment,문 두드리는 소리 똑똑똑...
공포,comment,전화벨 소리가 무서워
공포,comment,모르는 번호
공포,comment,발신자 표시 제한
공포,comment,TV가 저절로 켜짐
공포,comment,물건이 떨어짐
공포,comment,바퀴벌레 날아다님 (최고의 공포)
공포,comment,거미가 사라짐 (어디 갔지?)
공포,comment,벌이다!
공포,comment,쥐가 나타났다
공포,comment,치과 가는 날 
공포,comment,주사 맞는 날 
공포,comment,엄마가 내 풀네임을 불렀다
공포,comment,"아빠가 ""잠깐 앉아봐라"" 하셨다"
공포,comment,부재중 전화 10통 (엄마)
공포,comment,"여자친구가 ""뭐 달라진 거 없어?"" 라고 물었다"
공포,comment,"남자친구가 ""우리 얘기 좀 해"" 라고 했다"
공포,comment,통장 잔고 확인
공포,comment,카드값 명세서 날아옴
공포,comment,성적표 나오는 날
공포,comment,"교수님: ""꺼내서 시험 보자"""
공포,comment,직장 상사 호출
공포,comment,마감일(Deadline) 임박
공포,comment,발표 10분 전
공포,comment,면접 대기 중
공포,comment,핸드폰 액정 깨짐
공포,comment,배터리 1%인데 충전기 없음
공포,comment,와이파이 끊김
공포,comment,데이터 없음
공포,comment,저장 안 했는데 파일 날아감
공포,comment,천둥 번개
공포,comment,정전
공포,comment,지진
공포,comment,태풍
공포,comment,전쟁 나는 줄
공포,comment,지구가 멸망하려나
공포,comment,불안해
공포,comment,초조해
공포,comment,무서워서 아무것도 못 하겠어
공포,comment,손발이 차가워짐
공포,comment,안색이 창백해
공포,comment,누가 내 얘기 하나 봐
공포,comment,시선이 느껴져
공포,comment,귀신이다! 
공포,comment,좀비 떼 출몰
공포,comment,드라큘라
공포,comment,늑대인간
공포,comment,처녀귀신
공포,comment,달걀귀신
공포,comment,강시
공포,comment,살인마
공포,comment,사이코패스
공포,comment,납량특집
공포,comment,폐가 체험
공포,comment,담력 훈련
공포,comment,호러
공포,comment,스릴러
공포,comment,서스펜스
공포,comment,미스터리
공포,comment,소름 끼쳐
공포,comment,징그러워
공포,comment,끔찍해
공포,comment,으... 싫어
공포,comment,소름 쫙
공포,comment,잔액이 부족합니다
공포,comment,폰 잃어버림
공포,comment,지갑 두고 옴
공포,comment,신분증 검사하는데 없음
공포,comment,경찰이 검문함
공포,comment,치과 드릴 소리 윙~
공포,comment,사랑니 뽑아야 함
공포,comment,내일 군대 가는 꿈 꿨음 (재입대)
공포,comment,수강 신청 광탈
공포,comment,필수 전공 다 찼음
공포,comment,졸업 못 할 수도 있대
공포,comment,학사 경고
공포,comment,통장 잔고 0원
공포,comment,이번 달 카드값 폭탄
공포,comment,택배 분실됨
공포,comment,저장 파일 날아감 (백업 안 함)
공포,comment,핸드폰 물에 빠뜨림 📱💦
공포,comment,변기에 폰 빠짐
공포,comment,액정 박살 남
공포,comment,새벽 3시에 모르는 번호로 전화 옴 
공포,comment,방문이 저절로 열림
공포,comment,의자가 끼익 소리 냄
공포,comment,침대 밑에서 손이 나온다면?
공포,comment,가위눌려서 몸이 안 움직여
공포,comment,누가 내 목 조르는 꿈
공포,comment,높은 곳에서 떨어지는 꿈
공포,comment,이빨 다 빠지는 꿈
공포,comment,엘리베이터 추락 상상
공포,comment,비행기 흔들림 (난기류) 
공포,comment,배 멀미 (토할 것 같아)
공포,comment,롤러코스터 안전바 풀리는 상상
공포,comment,번지점프 못 뛰어내리겠어
공포,comment,주사 바늘이 너무 커
공포,act,불 끄지 않고 모든 방의 조명 켜기
공포,act,현관문 창문이 잘 잠겨있는지 확인하기
공포,act,휴대폰 플래시 켜서 손에 들고 있기
공포,act,가장 아끼는 물건 꼭 껴안고 있기
공포,act,따뜻한 담요나 이불 뒤집어쓰고 웅크리기
공포,act,친한 친구나 가족에게 지금 전화 걸기
공포,act,안전하다고 느끼는 장소로 이동하기
공포,act,좋아하는 음악을 크게 틀어놓기
공포,act,TV나 라디오를 켜서 사람 목소리 듣기
공포,act,집 안에서 가장 밝은 곳에 머물기
공포,act,베개 뒤에 숨기
공포,act,머리부터 발끝까지 이불로 감싸기
공포,act,가족 비상 연락망 확인하기
공포,act,집에 있는 반려동물 안기
공포,act,무서움을 잊게 해줄 재미있는 영상 보기
공포,act,따뜻한 물 한 잔 마시기
공포,act,심장을 진정시키는 음악 듣기
공포,act,방문의 잠금장치 확인하고 걸어 잠그기
공포,act,집안 구석구석을 순찰하기
공포,act,집안의 모든 문을 활짝 열어 환기하기
공포,act,커튼을 활짝 열어 바깥 빛 들어오게 하기
공포,act,커튼을 닫아 바깥 시선 완전히 차단하기
공포,act,모든 물건을 제자리에 정리정돈하기
공포,act,책상을 깔끔하게 비우기
공포,act,바닥에 떨어진 물건 정리하기
공포,act,새로운 향의 디퓨저나 향수 뿌리기
공포,act,공기청정기 작동시켜 공기 정화하기
공포,act,화분에 물 주기
공포,act,침대 밑에 아무것도 없음을 확인하기
공포,act,무서움을 유발하는 대상에게 욕하기
공포,act,무서움을 유발하는 대상에게 경고하기
공포,act,미래의 행복한 모습 상상하기
공포,act,두려움은 내 상상일 뿐이라고 되뇌기
공포,act,내 몸은 안전하다고 믿기
공포,act,다른 사람에게 무서움을 털어놓기
공포,act,용기를 북돋아주는 음악 만들기
공포,act,자신을 위한 긍정적인 찬가 부르기
공포,act,무서움에 맞서 노래 부르기
공포,act,손으로 얼굴을 강하게 문지르기
공포,act,따뜻한 손으로 차가운 물건 만지기
공포,act,박수 크게 10번 치기
공포,act,좋아하는 향의 차나 커피 마시기
공포,act,양치질 세게 하기
공포,act,시원한 얼음 물 마시기
공포,act,스트레칭하며 몸의 움직임 느끼기
공포,act,손으로 자신의 팔이나 다리 감싸기
공포,act,주변의 빛에 집중하기
공포,act,눈을 감고 심장 소리에만 집중하기
공포,act,머리 마사지하기
공포,act,어려운 수학 문제 풀기
공포,act,외국어 단어 10개 외우기
공포,act,좋아하는 노래 가사 읊기
공포,act,좋아하는 시나 명언 외우기
공포,act,머리 빗기
공포,act,손톱 다듬기
공포,act,레고 조립하기
공포,act,뜨개질이나 바느질하기
공포,act,계속 걷기
공포,act,제자리에서 뛰기
공포,act,책 정리하기
공포,act,코미디 영화 보기
공포,act,웃긴 유튜브 영상 클립 찾아보기
공포,act,ASMR 들으며 집중하기
공포,act,노래 부르기
공포,act,좋아하는 만화나 애니메이션 보기
공포,act,드라마 정주행하기
공포,act,예능 프로그램 다시 보기
공포,act,재미있는 소설이나 웹툰 읽기
공포,act,귀여운 동물 영상만 찾아보기
공포,act,여행 Vlog 시청하기
공포,act,재미있는 밈 이미지 찾아보기
공포,act,어린 시절 만화 시청하기
공포,act,오래된 코미디 시트콤 보기
공포,act,웃긴 동물 사진 저장하기
공포,act,명상 듣기
공포,act,퍼즐 조각 맞추기
공포,act,작은 장난감 조립하기
공포,act,클레이나 슬라임 만지기
공포,act,뜨개질이나 자수 놓기
공포,act,좋아하는 간식 먹기
공포,act,아이스크림 크게 한 입 먹기
공포,act,매운 음식 먹어 감각 전환하기
공포,act,따뜻한 허브차 마시기
공포,act,따뜻한 우유 마시기
공포,act,뜨거운 물 마시기
공포,act,젤리나 마시멜로우 먹기
공포,act,커피 원두 냄새 맡기
공포,act,허브 냄새 맡기
공포,act,이 또한 지나가리라 세 번 외치기
공포,song,아이유 - Love wins all
공포,song,아이유 - 홀씨
공포,song,아이유 - Celebrity
공포,song,아이유 - Blueming
공포,song,악동뮤지션 - Love Lee
공포,song,악동뮤지션 - DINOSAUR
공포,song,볼빨간사춘기 - 우주를 줄게
공포,song,aespa - Next Level
공포,song,aespa - Savage
공포,song,aespa - Black Mamba
공포,song,aespa - 도깨비불
공포,song,aespa - Armageddon
공포,song,NCT 127 - Cherry Bomb
공포,song,NCT U - Make A Wish
공포,song,NCT U - BOSS
공포,song,EXO - Monster
공포,song,투모로우바이투게더 - Devil by the Window
공포,song,투모로우바이투게더 - PUMA
공포,song,VIXX - 사슬
공포,song,VIXX - 도원경
공포,song,VIXX - 저주인형
공포,song,A.C.E - 도깨비
공포,song,iKON - 취향저격
공포,song,iKON - 왜 왜 왜
공포,song,레드벨벳 - Peek-A-Boo
공포,song,레드벨벳 - Psycho
공포,song,레드벨벳 - 칠 킬 (Chill Kill)
공포,song,선미 - Siren
공포,song,선미 - 꼬리 
공포,song,슈가 - 해금
공포,song,슈가 - 대취타
공포,song,지민 - Like Crazy
공포,song,선우정아 - 도망가자
공포,song,윤하 - 사건의 지평선
공포,song,로꼬 - 남아있어
공포,song,로꼬 - 감아
공포,song,크러쉬 - Beautiful
공포,song,헤이즈 - 헤픈 우연
공포,song,자이언티 - No Make Up
공포,song,자이언티 - 쿵
공포,song,이적 - 걱정말아요 그대
공포,song,비와이 - 중2병
공포,song,로꼬 - 시간을 달려서
공포,song,오마이걸 - 비밀정원
공포,song,하현우 - 돌덩이
공포,song,아이유 - 잔혹동화
공포,song,Stray Kids - 독
공포,song,Stray Kids - 부작용
공포,song,Stray Kids - MIROH
공포,song,NCT 127 - Superhuman
공포,song,NCT 127 - Punch
공포,song,투모로우바이투게더 - Can't You See Me?
공포,song,iKON - Why Why Why
공포,song,윤종신 - 환생
공포,song,마마무 - 데칼코마니
공포,song,헤이즈 - 널 너무 모르고
